Energy_eV	Yield_at_per_ion
# Angle_deg=0.0
# ntraj=50000

52.9  0.000000 
56.0  0.000001 
59.3  0.000001 
62.7  0.000003 
66.3  0.000006 
70.2123	0.000016
74.2997	0.000041
78.6251	0.000083
83.2022	0.000154
88.0458	0.000270
93.1714	0.000420
98.5954	0.000691
104.335	0.001065
110.409	0.001701
116.836	0.002362
123.638	0.003248
130.836	0.00444
138.452	0.00646
146.512	0.00786
155.041	0.0103
164.067	0.01356
173.618	0.01696
183.725	0.0192
194.421	0.02518
205.739	0.03048
217.716	0.0349
230.391	0.041
243.803	0.04878
257.996	0.05728
273.015	0.0597
288.908	0.07212
305.727	0.0808
323.525	0.0909
342.359	0.10108
362.289	0.11194
383.38	0.12382
405.699	0.13582
429.316	0.14654
454.309	0.15852
480.756	0.17428
508.744	0.18274
538.36	0.2028
569.701	0.21588
602.866	0.22926
637.962	0.2401
675.1	0.25628
714.401	0.27104
755.99	0.29122
800	0.30832
842.3176589064911	0.3284
886.8737981321386	0.341
933.7868267352134	0.3502
983.1814172666562	0.3746
1035.1888370905194	0.3898
1089.9472972302726	0.382
1147.6023196680753	0.4152
1208.307124073088	0.4366
1272.223034986598	0.4534
1339.5199105460256	0.448
1410.3765938872002	0.4706
1484.9813884244697	0.4982
1563.532558271762	0.5236
1646.2388551344318	0.5108
1733.3200730721703	0.5324
1825.0076326072206	0.5602
1921.545195730239	0.5684
2023.1893134381346	0.584
2130.2101075248	0.6036
2242.8919884365396	0.6288
2361.534411099987	0.6072
2486.452670731072	0.6478
2617.9787407399854	0.6666
2756.462154958831	0.6484
2902.270936536579	0.7002
3055.7925759697964	0.7166
3217.435060868392	0.7168
3387.627960192905	0.7342
3566.823565844823	0.7164
3755.498094643637	0.7438
3954.1529538850186	0.7852
4163.316073843263	0.8022
4383.543310759275	0.79
4615.419924042446	0.8136
4859.562131612258	0.815
5116.618747512836	0.8474
5387.2729061525915	0.819
5672.243877751017	0.8518
5972.288979817389	0.8578
6288.2055897410155	0.8578
6620.833263841701	0.8974
6971.055968511695	0.8936
7339.804429378613	0.8844
7728.0586047320985	0.8878
8136.850289787629	0.911
8567.265858708146	0.8882
9020.44915167068	0.9236
9497.60451465035	0.946
10000.0	0.9322
